#id;Title;yearOfAward;director;mainActor;titleEnglish;yearOfProduction;country;duration;fsk;genre;startDate;numberOfOscars
0;Broadway Melody;1929;Harry Beaumont;Anita Page, Bessie Love;The Broadway Melody;1929;US;100;12;Musikfilm;-;1
1;Im Westen nichts Neues;1931;Lewis Milestone;Louis Wolheim, Lew Ayres;All Quiet on the Western Front;1930;US;136;12;Drama;04.12.1930;1
2;Pioniere des wilden Westens ;1932;Wesley Ruggles;Richard Dix, Irene Dunne;Cimarron;1931;US;123;12;Drama, Western;-;1
3;Menschen im Hotel;1933;Edmund Goulding;Greta Garbo, John Barrymore;Grand Hotel;1932;US;110;16;Drama;14.02.1933;1
4;Kavalkade;1934;Frank Lloyd;Diana Wynyard, Clive Brook;Cavalcade;1933;US;110;12;Drama;-;1
5;Es geschah in einer Nacht;1935;Frank Capra;Clark Gable, Claudette Colbert;It Happened One Night;1934;US;101;0;Road Movie, Komödie;28.03.1935;1
6;Meuterei auf der Bounty;1936;Frank Lloyd;Charles Laughton, Clark Gable;Mutiny on the Bounty;1935;US;135;12;Abenteuerfilm, Drama, Historienfilm;05.03.1951;1
7;Der große Ziegfeld;1937;Robert Z. Leonard;William Powell, Myrna Loy;The Great Ziegfeld;1936;US;110;12;Drama, Komödie, Musikfilm;28.04.1950;1
8;Das Leben des Emile Zola;1938;William Dieterle;Paul Muni, Gale Sondergaard;The Life of Emile Zola;1937;US;116;12;Drama;-;1
9;Lebenskünstler;1939;Frank Capra;Jean Arthur, Lionel Barrymore;You Can't Take It with You;1938;US;121;6;Komödie;-;1
10;Vom Winde verweht;1940;George Cukor, Sam Wood;Clark Gable, Vivien Leigh;Gone with the Wind;1939;US;234;12;Drama, Historienfilm;15.01.1953;1
11;Rebecca;1941;Alfred Hitchcock;Laurence Olivier, Joan Fontaine;Rebecca;1940;US;130;16;Drama, Thriller;30.10.1951;1
12;So grün war mein Tal;1942;John Ford;Walter Pidgeon, Maureen O'Hara;How Green Was My Valley;1941;US;117;12;Drama;28.04.1950;1
13;Mrs. Miniver;1943;William Wyler;Greer Garson, Walter Pidgeon;Mrs. Miniver;1942;US;134;12;Drama;21.10.1960;1
14;Casablanca;1944;Michael Curtiz;Humphrey Bogart, Ingrid Bergman;Casablanca;1942;US;102;6;Drama;21.06.2007;1
15;Der Weg zum Glück;1945;Leo McCarey;Bing Crosby, Barry Fitzgerald;Going My Way;1944;US;130;0;Drama, Komödie;04.09.1946;1
16;Das verlorene Wochenende;1946;Billy Wilder;Ray Milland, Jane Wyman;The Lost Weekend;1945;US;101;16;Drama, Kriminalfilm;14.02.1947;1
17;Die besten Jahre unseres Lebens;1947;William Wyler;Myrna Loy, Fredric March;The Best Years of Our Lives;1946;US;172;12;Drama;01.06.1948;1
18;Tabu der Gerechten;1948;Elia Kazan;Gregory Peck, Dorothy McGuire;Gentleman's Agreement;1947;US;117;12;Drama;29.10.1963;1
19;Hamlet;1949;Laurence Olivier;Laurence Olivier, Norman Wooland;Hamlet;1948;GB;150;12;Drama, Thriller;10.12.1948;1
20;Der Mann, der herrschen wollte;1950;Robert Rossen;John Ireland, Broderick Crawford;All the King's Men;1949;US;109;12;Drama;23.07.1951;1
21;Alles über Eva;1951;Joseph L. Mankiewicz;Bette Davis, Anne Baxter;All About Eve;1950;US;138;12;Drama;29.11.1952;1
22;Ein Amerikaner in Paris;1952;Vincente Minnelli;Gene Kelly, Leslie Caron;An American in Paris;1951;US;114;12;Musikfilm, Komödie;17.12.1952;1
23;Die Größte Schau der Welt;1953;Cecil B. DeMille;Betty Hutton, Cornel Wilde;The Greatest Show on Earth;1952;US;150;12;Drama;25.12.1952;1
24;Verdammt in alle Ewigkeit;1954;Fred Zinnemann;Burt Lancaster, Montgomery Clift;From Here to Eternity;1953;US;115;16;Drama;06.02.1954;1
25;Die Faust im Nacken;1955;Elia Kazan;Marlon Brando, Karl Malden;On the Waterfront;1954;US;108;12;Drama;05.11.1954;1
26;Marty;1956;Delbert Mann;Ernest Borgnine, Betsy Blair;Marty;1955;US;86;12;Drama;02.09.1955;1
27;In 80 Tagen um die Welt;1957;Michael Anderson, John Farrow;David Niven, Cantinflas;Around the World in Eighty Days;1956;US;178;6;Abenteuerfilm, Historienfilm, Komödie;04.10.1957;1
28;Die Brücke am Kwai;1958;David Lean;William Holden, Alec Guinness;The Bridge on the River Kwai;1957;GB/US;161;12;Drama;07.03.1958;1
29;Gigi;1959;Vincente Minnelli;Leslie Caron, Maurice Chevalier;Gigi;1958;US;115;16;Komödie, Musikfilm;18.12.1958;1
30;Ben Hur;1960;William Wyler;Charlton Heston, Jack Hawkins;Ben Hur;1959;US;212;16;Historienfilm, Drama;24.11.2005;1
31;Das Appartement;1961;Billy Wilder;Jack Lemmon, Shirley MacLaine;The Apartment;1960;US;125;16;Drama, Komödie;16.09.1960;1
32;West Side Story;1962;Jerome Robbins, Robert Wise;Natalie Wood, Tucker Smith;West Side Story;1961;US;151;12;Drama, Musikfilm;03.06.2004;1
33;Lawrence von Arabien;1963;David Lean;Peter O'Toole, Alec Guinness;Lawrence of Arabia;1962;GB;202;16;Drama, Historienfilm, Abenteuerfilm;15.03.1963;1
34;Tom Jones;1964;Tony Richardson;Albert Finney, Susannah York;Tom Jones;1963;GB;128;18;Historienfilm, Komödie, Abenteuerfilm;12.03.1964;1
35;My Fair Lady;1965;George Cukor;Audrey Hepburn, Rex Harrison;My Fair Lady;1964;US;173;12;Musikfilm, Drama, Komödie;23.12.1964;1
36;Meine Lieder, meine Träume;1966;Robert Wise;Julie Andrews, Christopher Plummer;The Sound of Music;1965;US;174;6;Drama, Musikfilm;17.02.1966;1
37;Ein Mann zu jeder Jahreszeit;1967;Fred Zinnemann;Paul Scofield, Wendy Hiller;A Man For All Seasons;1966;GB;120;12;Drama, Historienfilm;25.08.1967;1
38;In der Hitze der Nacht;1968;Norman Jewison;Sidney Poitier, Rod Steiger;In the Heat of the Night;1967;US;109;12;Kriminalfilm, Drama, Thriller;22.03.1968;1
39;Oliver!;1969;Carol Reed;Ron Moody, Shani Wallis;Oliver!;1968;GB;149;12;Drama, Kriminalfilm, Musikfilm;18.12.1968;1
40;Asphalt-Cowboy;1970;John Schlesinger;Dustin Hoffman, Jon Voight;Midnight Cowboy;1969;US;113;16;Drama;18.07.1969;1
41;Patton - Rebell in Uniform;1971;Franklin J. Schaffner;George C. Scott, Karl Malden;Patton;1970;US;165;12;Drama;26.03.1970;1
42;French Connection - Brennpunkt Brooklyn;1972;William Friedkin;Gene Hackman, Fernando Rey;The French Connection;1971;US;104;16;Actionfilm, Kriminalfilm, Drama, Thriller;14.01.1972;1
43;Der Pate;1973;Francis Ford Coppola;Marlon Brando, Al Pacino;The Godfather;1972;US;175;16;Drama;24.08.1972;1
44;Der Clou;1974;George Roy Hill;Paul Newman, Robert Redford;The Sting;1973;US;129;12;Komödie, Drama;11.04.1974;1
45;Der Pate 2;1975;Francis Ford Coppola;Al Pacino, Peter Donat;The Godfather: Part II;1974;US;200;16;Drama;25.09.1975;1
46;Einer flog über das Kuckucksnest;1976;Milos Forman;Jack Nicholson, Louise Fletcher;One Flew Over the Cuckoo's Nest;1975;US;133;18;Drama, Komödie;18.03.1976;1
